単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/5,9:30,22226,1314,5216,1675,87,841,1441,0,440,9569,5704,0,253,-3563,1,4945,260,22226
2026/5/5,10:00,22586,1314,5267,1675,87,843,1412,0,438,10182,6048,0,188,-3720,1,4842,244,22585
2026/5/5,10:30,22909,1314,5308,1674,87,857,1409,0,439,10626,6243,0,90,-4042,1,4979,259,22911
2026/5/5,11:00,23136,1314,5277,1675,88,837,1403,0,443,11173,6084,13,65,-4282,1,4953,240,23135
2026/5/5,11:30,23211,1314,5261,1676,87,851,1401,0,441,11240,6089,1,74,-4273,1,4979,233,23212
2026/5/5,12:00,23276,1314,5219,1674,87,867,1379,0,439,11302,5881,0,92,-4286,1,5032,246,23274
2026/5/5,12:30,23063,1313,5333,1675,87,842,1378,0,439,11013,5686,0,82,-4264,1,5006,241,23064
2026/5/5,13:00,23004,1313,5419,1675,87,878,1362,0,438,10818,5152,27,55,-4222,1,4978,228,23002
2026/5/5,13:30,22775,1314,6057,1700,87,852,1370,0,440,9908,4982,22,82,-4193,1,4997,220,22775
2026/5/5,14:00,22548,1314,6154,1833,86,893,1370,0,441,8743,4785,0,131,-3623,2,5110,224,22547
2026/5/5,14:30,22559,1314,5789,1939,87,933,1358,0,441,7777,4182,29,89,-3247,2,5923,213,22558
2026/5/5,15:00,22347,1314,5693,1967,88,940,1396,0,444,6943,3156,85,39,-2698,1,5958,217,22348
2026/5/5,15:30,22358,1314,6528,1966,87,892,1407,0,442,6865,1184,75,26,-2198,0,4762,218,22358
2026/5/5,16:00,22870,1314,6498,2027,91,930,1619,0,481,5810,0,90,0,-1188,1,4971,226,22870
2026/5/5,16:30,23113,1313,7250,2150,100,963,1641,0,485,3683,0,80,0,178,2,5033,235,23113
2026/5/5,17:00,23668,1314,7599,2448,102,988,1674,0,486,1956,0,72,0,1975,1,4799,253,23667
2026/5/5,17:30,24267,1314,7792,2715,102,971,1690,0,486,798,0,72,0,2998,22,5057,250,24267
2026/5/5,18:00,24650,1312,8156,3108,102,967,1728,0,488,115,0,128,0,3533,33,4800,179,24649
2026/5/5,18:30,25288,1312,8745,3116,101,992,1736,0,488,0,0,101,0,3932,30,4547,188,25288
2026/5/5,19:00,25399,1311,8856,3113,102,945,1739,0,490,0,0,130,0,4286,23,4219,185,25399
2026/5/5,19:30,25046,1312,8601,3113,102,962,1740,0,490,0,0,158,0,3958,22,4399,189,25046
2026/5/5,20:00,24736,1312,8215,3115,102,975,1711,0,493,0,0,171,0,3938,28,4478,197,24735
2026/5/5,20:30,24346,1313,7960,3114,103,976,1705,0,493,0,0,190,0,3724,26,4530,212,24346
2026/5/5,21:00,23762,1313,8116,3113,102,967,1478,0,494,0,0,214,0,3187,7,4567,203,23761
2026/5/5,21:30,23202,1313,7806,3115,102,958,1465,0,495,0,0,262,0,2711,2,4750,222,23201
